"year_month","Nation","CartPriceInCP"
"2019-01","Aglarond",875799
"2019-02","Aglarond",766096
"2019-03","Aglarond",841626
"2019-04","Aglarond",877065
"2019-05","Aglarond",786607
"2019-06","Aglarond",909673
"2019-07","Aglarond",799514
"2019-08","Aglarond",878149
"2019-09","Aglarond",832624
"2019-10","Aglarond",930778
"2019-11","Aglarond",842696
"2019-12","Aglarond",871932
"2020-01","Aglarond",982632
"2020-02","Aglarond",949465
"2020-03","Aglarond",1163544
"2020-04","Aglarond",1151565
"2020-05","Aglarond",1102016
"2020-06","Aglarond",923583
"2020-07","Aglarond",1011071
"2020-08","Aglarond",796276
"2020-09","Aglarond",890371
"2020-10","Aglarond",968060
"2020-11","Aglarond",978697
"2020-12","Aglarond",916085
"2021-01","Aglarond",924560
"2021-02","Aglarond",907606
"2021-03","Aglarond",1260542
"2021-04","Aglarond",924266
"2021-05","Aglarond",1018674
"2021-06","Aglarond",854990
"2021-07","Aglarond",799267
"2021-08","Aglarond",1032428
"2021-09","Aglarond",1040273
"2021-10","Aglarond",872556
"2021-11","Aglarond",1036529
"2021-12","Aglarond",955335
"2022-01","Aglarond",992161
"2022-02","Aglarond",829691
"2022-03","Aglarond",843063
"2022-04","Aglarond",913654
"2022-05","Aglarond",982328
"2022-06","Aglarond",729499
"2022-07","Aglarond",1022907
"2022-08","Aglarond",757780
"2022-09","Aglarond",952174
"2022-10","Aglarond",930855
"2022-11","Aglarond",794660
"2022-12","Aglarond",869864
"2023-01","Aglarond",1010454
"2023-02","Aglarond",824422
"2023-03","Aglarond",792744
"2023-04","Aglarond",887935
"2023-05","Aglarond",862207
"2023-06","Aglarond",928036
"2023-07","Aglarond",1033560
"2023-08","Aglarond",870856
"2023-09","Aglarond",803728
"2023-10","Aglarond",903313
"2023-11","Aglarond",1016177
"2023-12","Aglarond",918636
"2019-01","Alaron",1414791
"2019-02","Alaron",894033
"2019-03","Alaron",1020547
"2019-04","Alaron",1020037
"2019-05","Alaron",1082921
"2019-06","Alaron",1255612
"2019-07","Alaron",1057180
"2019-08","Alaron",1009912
"2019-09","Alaron",1016503
"2019-10","Alaron",1038555
"2019-11","Alaron",892354
"2019-12","Alaron",1048130
"2020-01","Alaron",1254482
"2020-02","Alaron",1044268
"2020-03","Alaron",1303645
"2020-04","Alaron",1210914
"2020-05","Alaron",801556
"2020-06","Alaron",1005569
"2020-07","Alaron",876560
"2020-08","Alaron",1159321
"2020-09","Alaron",1068653
"2020-10","Alaron",1053282
"2020-11","Alaron",967014
"2020-12","Alaron",1110733
"2021-01","Alaron",1165901
"2021-02","Alaron",837046
"2021-03","Alaron",1064883
"2021-04","Alaron",1124538
