"","Nation","year_month","CartPriceInCP","Coord_X","Coord_Y"
"1","Aglarond","2019-03",841626,1960,1289
"2","Aglarond","2022-04",913654,1960,1289
"3","Aglarond","2019-01",875799,1960,1289
"4","Aglarond","2019-08",878149,1960,1289
"5","Aglarond","2019-04",877065,1960,1289
"6","Aglarond","2019-05",786607,1960,1289
"7","Aglarond","2019-06",909673,1960,1289
"8","Aglarond","2019-02",766096,1960,1289
"9","Aglarond","2022-12",869864,1960,1289
"10","Aglarond","2019-09",832624,1960,1289
"11","Aglarond","2019-10",930778,1960,1289
"12","Aglarond","2019-07",799514,1960,1289
"13","Aglarond","2019-11",842696,1960,1289
"14","Aglarond","2019-12",871932,1960,1289
"15","Aglarond","2020-01",982632,1960,1289
"16","Aglarond","2020-02",949465,1960,1289
"17","Aglarond","2020-03",1163544,1960,1289
"18","Aglarond","2022-08",757780,1960,1289
"19","Aglarond","2022-09",952174,1960,1289
"20","Aglarond","2022-10",930855,1960,1289
"21","Aglarond","2022-11",794660,1960,1289
"22","Aglarond","2020-08",796276,1960,1289
"23","Aglarond","2023-01",1010454,1960,1289
"24","Aglarond","2023-02",824422,1960,1289
"25","Aglarond","2023-03",792744,1960,1289
"26","Aglarond","2020-12",916085,1960,1289
"27","Aglarond","2021-01",924560,1960,1289
"28","Aglarond","2021-02",907606,1960,1289
"29","Aglarond","2021-03",1260542,1960,1289
"30","Aglarond","2021-04",924266,1960,1289
"31","Aglarond","2020-04",1151565,1960,1289
"32","Aglarond","2020-05",1102016,1960,1289
"33","Aglarond","2020-06",923583,1960,1289
"34","Aglarond","2020-07",1011071,1960,1289
"35","Aglarond","2021-09",1040273,1960,1289
"36","Aglarond","2021-10",872556,1960,1289
"37","Aglarond","2021-11",1036529,1960,1289
"38","Aglarond","2021-12",955335,1960,1289
"39","Aglarond","2022-01",992161,1960,1289
"40","Aglarond","2022-02",829691,1960,1289
"41","Aglarond","2022-03",843063,1960,1289
"42","Aglarond","2023-05",862207,1960,1289
"43","Aglarond","2023-06",928036,1960,1289
"44","Aglarond","2022-05",982328,1960,1289
"45","Aglarond","2022-06",729499,1960,1289
"46","Aglarond","2022-07",1022907,1960,1289
"47","Aglarond","2023-10",903313,1960,1289
"48","Aglarond","2023-11",1016177,1960,1289
"49","Aglarond","2023-12",918636,1960,1289
"50","Aglarond","2020-09",890371,1960,1289
"51","Aglarond","2020-10",968060,1960,1289
"52","Aglarond","2020-11",978697,1960,1289
"53","Aglarond","2023-07",1033560,1960,1289
"54","Aglarond","2023-04",887935,1960,1289
"55","Aglarond","2023-09",803728,1960,1289
"56","Aglarond","2021-07",799267,1960,1289
"57","Aglarond","2021-08",1032428,1960,1289
"58","Aglarond","2023-08",870856,1960,1289
"59","Aglarond","2021-05",1018674,1960,1289
"60","Aglarond","2021-06",854990,1960,1289
"61","Alaron","2021-06",1075804,327,1120
"62","Alaron","2021-02",837046,327,1120
"63","Alaron","2023-12",1016498,327,1120
"64","Alaron","2020-08",1159321,327,1120
"65","Alaron","2021-05",1038372,327,1120
"66","Alaron","2022-08",1450691,327,1120
"67","Alaron","2021-03",1064883,327,1120
"68","Alaron","2021-04",1124538,327,1120
"69","Alaron","2022-11",1203679,327,1120
"70","Alaron","2022-12",1440306,327,1120
"71","Alaron","2022-09",1094711,327,1120
"72","Alaron","2022-10",1372626,327,1120
"73","Alaron","2020-12",1110733,327,1120
"74","Alaron","2021-01",1165901,327,1120
"75","Alaron","2023-05",1051719,327,1120
"76","Alaron","2023-06",1341299,327,1120
"77","Alaron","2023-07",1177204,327,1120
"78","Alaron","2023-08",1277962,327,1120
"79","Alaron","2023-09",1030710,327,1120
"80","Alaron","2023-10",1050637,327,1120
"81","Alaron","2023-11",948134,327,1120
"82","Alaron","2020-07",876560,327,1120
"83","Alaron","2021-09",1050687,327,1120
"84","Alaron","2020-09",1068653,327,1120
"85","Alaron","2020-10",1053282,327,1120
"86","Alaron","2020-11",967014,327,1120
"87","Alaron","2022-01",1298908,327,1120
"88","Alaron","2022-02",1141065,327,1120
"89","Alaron","2022-03",1105109,327,1120
"90","Alaron","2022-04",1186875,327,1120
"91","Alaron","2019-01",1414791,327,1120
"92","Alaron","2019-02",894033,327,1120
"93","Alaron","2019-03",1020547,327,1120
"94","Alaron","2021-07",1112203,327,1120
"95","Alaron","2021-08",958225,327,1120
"96","Alaron","2019-06",1255612,327,1120
"97","Alaron","2021-10",1345399,327,1120
"98","Alaron","2021-11",1381242,327,1120
"99","Alaron","2021-12",1187174,327,1120
"100","Alaron","2019-10",1038555,327,1120
"101","Alaron","2019-11",892354,327,1120
"102","Alaron","2019-12",1048130,327,1120
"103","Alaron","2020-01",1254482,327,1120
"104","Alaron","2020-02",1044268,327,1120
"105","Alaron","2020-03",1303645,327,1120
"106","Alaron","2020-04",1210914,327,1120
"107","Alaron","2019-04",1020037,327,1120
"108","Alaron","2019-05",1082921,327,1120
"109","Alaron","2023-01",1510753,327,1120
"110","Alaron","2019-07",1057180,327,1120
"111","Alaron","2019-08",1009912,327,1120
"112","Alaron","2019-09",1016503,327,1120
"113","Alaron","2020-06",1005569,327,1120
"114","Alaron","2023-02",1017452,327,1120
"115","Alaron","2023-03",1082158,327,1120
"116","Alaron","2023-04",1030304,327,1120
"117","Alaron","2022-07",1068804,327,1120
"118","Alaron","2022-05",1062342,327,1120
"119","Alaron","2022-06",1171766,327,1120
"120","Alaron","2020-05",801556,327,1120
"121","Amn","2019-02",2170567,814,1007
"122","Amn","2019-01",2442687,814,1007
"123","Amn","2022-06",3034631,814,1007
"124","Amn","2019-03",2550982,814,1007
"125","Amn","2019-10",2589659,814,1007
"126","Amn","2019-06",2314335,814,1007
"127","Amn","2019-07",2252953,814,1007
"128","Amn","2019-08",2627733,814,1007
"129","Amn","2019-04",2243227,814,1007
"130","Amn","2023-01",3289924,814,1007
"131","Amn","2019-11",2255259,814,1007
"132","Amn","2019-12",2371830,814,1007
"133","Amn","2019-09",2531043,814,1007
"134","Amn","2020-01",2148507,814,1007
"135","Amn","2020-02",2241035,814,1007
"136","Amn","2020-03",2578788,814,1007
"137","Amn","2020-04",2475666,814,1007
"138","Amn","2020-05",2202032,814,1007
