"","Nation","year_month","CartPriceInCP","Coord_X","Coord_Y"
"1","Aglarond","2019-08",878149,930,1900
"2","Aglarond","2019-09",832624,930,1900
"3","Aglarond","2019-10",930778,930,1900
"4","Aglarond","2019-07",799514,930,1900
"5","Aglarond","2022-03",843063,930,1900
"6","Aglarond","2019-01",875799,930,1900
"7","Aglarond","2022-05",982328,930,1900
"8","Aglarond","2019-02",766096,930,1900
"9","Aglarond","2019-03",841626,930,1900
"10","Aglarond","2019-04",877065,930,1900
"11","Aglarond","2019-05",786607,930,1900
"12","Aglarond","2019-06",909673,930,1900
"13","Aglarond","2021-09",1040273,930,1900
"14","Aglarond","2021-10",872556,930,1900
"15","Aglarond","2021-11",1036529,930,1900
"16","Aglarond","2021-12",955335,930,1900
"17","Aglarond","2019-11",842696,930,1900
"18","Aglarond","2019-12",871932,930,1900
"19","Aglarond","2022-04",913654,930,1900
"20","Aglarond","2020-01",982632,930,1900
"21","Aglarond","2020-02",949465,930,1900
"22","Aglarond","2020-03",1163544,930,1900
"23","Aglarond","2022-06",729499,930,1900
"24","Aglarond","2022-07",1022907,930,1900
"25","Aglarond","2022-08",757780,930,1900
"26","Aglarond","2022-09",952174,930,1900
"27","Aglarond","2022-10",930855,930,1900
"28","Aglarond","2022-11",794660,930,1900
"29","Aglarond","2022-12",869864,930,1900
"30","Aglarond","2022-01",992161,930,1900
"31","Aglarond","2022-02",829691,930,1900
"32","Aglarond","2023-03",792744,930,1900
"33","Aglarond","2021-02",907606,930,1900
"34","Aglarond","2021-03",1260542,930,1900
"35","Aglarond","2021-04",924266,930,1900
"36","Aglarond","2020-04",1151565,930,1900
"37","Aglarond","2020-05",1102016,930,1900
"38","Aglarond","2020-06",923583,930,1900
"39","Aglarond","2020-07",1011071,930,1900
"40","Aglarond","2020-08",796276,930,1900
"41","Aglarond","2020-09",890371,930,1900
"42","Aglarond","2020-10",968060,930,1900
"43","Aglarond","2023-01",1010454,930,1900
"44","Aglarond","2023-02",824422,930,1900
"45","Aglarond","2020-12",916085,930,1900
"46","Aglarond","2021-01",924560,930,1900
"47","Aglarond","2021-07",799267,930,1900
"48","Aglarond","2023-04",887935,930,1900
"49","Aglarond","2021-05",1018674,930,1900
"50","Aglarond","2021-06",854990,930,1900
"51","Aglarond","2023-11",1016177,930,1900
"52","Aglarond","2021-08",1032428,930,1900
"53","Aglarond","2023-09",803728,930,1900
"54","Aglarond","2023-10",903313,930,1900
"55","Aglarond","2023-06",928036,930,1900
"56","Aglarond","2023-12",918636,930,1900
"57","Aglarond","2020-11",978697,930,1900
"58","Aglarond","2023-05",862207,930,1900
"59","Aglarond","2023-07",1033560,930,1900
"60","Aglarond","2023-08",870856,930,1900
"61","Alaron","2020-06",1005569,2563,3533
"62","Alaron","2023-11",948134,2563,3533
"63","Alaron","2023-12",1016498,2563,3533
"64","Alaron","2020-05",801556,2563,3533
"65","Alaron","2020-07",876560,2563,3533
"66","Alaron","2023-04",1030304,2563,3533
"67","Alaron","2023-05",1051719,2563,3533
"68","Alaron","2023-06",1341299,2563,3533
"69","Alaron","2023-07",1177204,2563,3533
"70","Alaron","2023-08",1277962,2563,3533
"71","Alaron","2023-09",1030710,2563,3533
"72","Alaron","2023-10",1050637,2563,3533
"73","Alaron","2021-06",1075804,2563,3533
"74","Alaron","2022-09",1094711,2563,3533
"75","Alaron","2022-10",1372626,2563,3533
"76","Alaron","2020-08",1159321,2563,3533
"77","Alaron","2020-09",1068653,2563,3533
"78","Alaron","2020-10",1053282,2563,3533
"79","Alaron","2020-11",967014,2563,3533
"80","Alaron","2020-12",1110733,2563,3533
"81","Alaron","2021-01",1165901,2563,3533
"82","Alaron","2021-02",837046,2563,3533
"83","Alaron","2021-03",1064883,2563,3533
"84","Alaron","2021-04",1124538,2563,3533
"85","Alaron","2021-05",1038372,2563,3533
"86","Alaron","2022-08",1450691,2563,3533
"87","Alaron","2019-03",1020547,2563,3533
"88","Alaron","2021-07",1112203,2563,3533
"89","Alaron","2022-11",1203679,2563,3533
"90","Alaron","2022-12",1440306,2563,3533
"91","Alaron","2023-01",1510753,2563,3533
"92","Alaron","2023-02",1017452,2563,3533
"93","Alaron","2023-03",1082158,2563,3533
"94","Alaron","2019-11",892354,2563,3533
"95","Alaron","2019-12",1048130,2563,3533
"96","Alaron","2020-01",1254482,2563,3533
"97","Alaron","2020-02",1044268,2563,3533
"98","Alaron","2020-03",1303645,2563,3533
"99","Alaron","2020-04",1210914,2563,3533
"100","Alaron","2022-06",1171766,2563,3533
"101","Alaron","2019-04",1020037,2563,3533
"102","Alaron","2021-08",958225,2563,3533
"103","Alaron","2021-09",1050687,2563,3533
"104","Alaron","2021-10",1345399,2563,3533
"105","Alaron","2021-11",1381242,2563,3533
"106","Alaron","2021-12",1187174,2563,3533
"107","Alaron","2022-01",1298908,2563,3533
"108","Alaron","2022-02",1141065,2563,3533
"109","Alaron","2022-03",1105109,2563,3533
"110","Alaron","2022-04",1186875,2563,3533
"111","Alaron","2019-01",1414791,2563,3533
"112","Alaron","2019-02",894033,2563,3533
"113","Alaron","2019-07",1057180,2563,3533
"114","Alaron","2022-07",1068804,2563,3533
"115","Alaron","2019-05",1082921,2563,3533
"116","Alaron","2019-06",1255612,2563,3533
"117","Alaron","2022-05",1062342,2563,3533
"118","Alaron","2019-08",1009912,2563,3533
"119","Alaron","2019-09",1016503,2563,3533
"120","Alaron","2019-10",1038555,2563,3533
"121","Amn","2019-01",2442687,2076,3046
"122","Amn","2019-09",2531043,2076,3046
"123","Amn","2019-10",2589659,2076,3046
"124","Amn","2019-11",2255259,2076,3046
